thermax,थरमैक्स,थर्मैक्स
molina,मोलिना,मोलिना
gaandchubhonachoosnachhote,गांडचुभोनाचूसनाछोटे,गांधकोष्टनेभायत
han,हां,हैन
pradarshan,प्रर्दशन,प्रदर्शन
sarjuga,सरगुजा,सरजुगा
bidar,बीदर,बिदार
amargad,अमरगढ़,अमरगाद
juye,जुए,जुये
tonk,टोंक,टॉन
devaapur,देवापुर,देवापुर
intelligence,इंटेलीजेंस,इंटेलिंगेज
neetiyon,नीतियों,नीतियों
khanaudaa,खनौदा,खनौडा
porbandar,पोरबंदर,पोरबंदर
sim,सिम,
lagnesh,लग्नेश,लग्नेश
gaayikao,गायिकाओ,गायिकाओ
prishthabhoomiyon,पृष्ठभूमियों,पृष्ठभूमियों
moolchand,मूलचंद,मूलचंद
silchar,सिल्चर,सिलचर
margarita,मार्गरिटा,मार्गरिता
udakishuganj,उदाकिशुनगंज,उदाकिशुपांसगण
sirtee,सिरती,सिरती
yamala,यमला,यमाला
prashikshu,प्रशिक्षु,प्रशिक्षु
sierra,सिएरा,सिर्रा
aalhaa,आल्हा,आल्हा
peck,पेक,पीक
taskhir,तसखीर,तश्खिर
daka,डाका,डका
nominate,नॉमिनेट,नोमिनेट
sapat,सपाट,सपत
coimbatore,कोयम्बटूर,कॉइम्बेटर
koraput,कोरापुट,कोरापुट
svayattshasan,स्वायत्तशासन,स्वयत्ताशासन
vidyutikrit,विद्युतीकृत,विद्युतिकृत
kikiyaanaa,किकियाना,किकियाना
arunaai,अरुणाई,अरुणाई
rigal,रीगल,रिगल
diamond,डायमंड,डायमॉन्ड
mridubhaashee,मृदुभाषी,मृदुभाषावी
walters,वाल्टर्स,वॉल्टर्स
sutrapada,सूत्रपाडा,सुत्रपाडा
keeti,कीति,कीटी
zilaadhikaari,ज़िलाधिकारी,जिलाहिकारी
mangesh,मंगेश,मांजेश
pension,पेंषन,पेनशन
laganewale,लगनेवाले,लगानेवाले
jilavasiyon,जिलावासियों,जिलावासियों
ploskee,प्लोस्की,प्लॉक्सी
eksath,एकसाथ,एकसाठ
sekhar,सेखर,सेखर
dow,डीओडब्ल्यू,दोव
ardhawishwaas,अर्धविश्वास,अर्ध्धशिवास
rajasthan,राजस्थान,राजस्थान
vikaskhand,विकासखण्ड,विकासखांड
samshayon,संशयों,समशायों
badhanaa,बढना,बढ़ाना
classon,क्लासों,क्लासन
ikhrul,उखरुल,इखरूल
furaame,फुरामे,फ्रौमे
ebaz,एबज,एबाज
baataaya,बाताया,बाताया
jushantan,जुशान्तान,जुशान्तन
strong,स्ट्रॉन्ग,स्ट्रॉंग
rajnitikaron,राजनीतिकारों,राजनितिकरों
panipat,पानीपत,पनिपट
blankaard,ब्लांकार्ड,ब्लैंकार्ड
jhabua,झाबुआ,झबूआ
jacinto,जकिंटो,जैसिंटो
barahsinga,बारहसिंगा,बरहसिंगा
suchnah,सूचनाः,सूचनाह
electromagic,इलेक्ट्रोमैजिक,इलेक्रोम्टिक
lalmani,लालमणी,लालमानी
bhaaulaal,भाऊलाल,भाऊलाल
kathua,कठुआ,कथुआ
palaari,पलारी,पालारी
amitao,अमिताव,एमितो
tadanrustee,तदंरुस्ती,तदनुरसाती
vaabastaa,वाबस्ता,वाबस्ता
vlad,व्लाद,वीएल
slash,स्लैश,स्लाश
waterbury,वाटरबरी,वाटरबरी
selfie,सेल्फी,सेल्फी
luis,लुईस,लूयस
panchasootra,पंचसूत्र,पंचसूतरा
aryama,अर्यमा,आर्यमा
vaadak,वादक,वादक
junction,जंक्शन,जन्क्शन
generic,जेनरिक,जेनरिक
jiya,जिया,जिया
aden,एडेन,एडीएन
sophner,सॉफ़्नर,सोफनेर
qwvga,क्यूडब्ल्यूवीजीए,क्वाग्
dhvanimikon,ध्वनिमिकों,ध्वनिमोंक
feeds,फीड्स,फीडस
sukadiyaal,सुकडि़याल,सुकडियल
angadh,अनगढ़,अंगाध
bavji,बावजी,बावजी
chhodiye,छोडिये,छोड़िए
cipla,सिप्ला,सीपीएलए
vigyanon,विज्ञानों,विज्ञानों
dhasmaanaa,धस्माना,धसमाना
longewal,लोंगोवाल,लोंगेवाल
badam,बदाम,बादम
atraikt,अट्रैक्ट,अत्रक्त
saraaha,सराहा,सरह
nrityashaili,नृत्यशैली,नृत्यशाली
sanvari,संवरी,संवरी
yakshadhipati,यक्षाधिपति,यक्षापिदाति
arabpatiyon,अरबपतियों,अरबपतियों
mukaddamon,मुकद्दमों,मुकद्दमों
phode,फोड़े,फोड़े
sihunta,सिहुंता,सिहुंता
jeewan,जीवन,जीवां
dhoondhata,ढूंढता,धूंढ़ता
cruces,क्रुसेस,क्रूस
kaaryakartriyon,कार्यकर्त्रियों,कार्यकर्तियों
pratibaddhtaaen,प्रतिबद्धताएं,प्रतिबद्धताएँ
dlw,डीएलडब्ल्यू,डीएलवी
plan,प्लेन,प्लैन
pailot,पायलट,पैलोट
adhiwas,अधिवास,अधिवास
phainn,फैंन,फैन
favvara,फव्वारा,फववारा
halchal,हालचाल,हलचाल
wishvaweer,विश्ववीर,विश्वरी
crest,क्रेस्ट,सीआरएसटी
brahmleen,ब्रह्मलीन,ब्रह्मलीन
virechan,विरेचन,विरेचन
yaaddaashta,याद्दाश्त,याद्धास्ता
ujjain,उज्जैन,उज्जन
sahyaatre,सहयात्री,सह्यात्रे
jimme,जिम्मे,जिम्मे
sarawagi,सारावागी,सरवागी
dekhiyegaa,देखियेगा,देखिएगा
wajood,वजूद,वजूद
kundal,कुंडल,कुंडल
ria,रिया,रिया
slider,स्लाइडर,स्लाइडर
management,मैनेजमेंट,मनेगमेंट
karyakaaryakartaon,कार्यकार्यकर्ताओं,कार्यकारक्ताओं
cristis,क्रिस्टिस,क्रिस्टिस
ruktey,रुकते,रुक्ते
distrabyuters,डिस्ट्रब्यूटर्स,डिस्ट्राब्यूरिटर
